name,value
BIAS_CFG0,16'b0000000000000000
BIAS_CFG1,16'b0000000000000000
BIAS_CFG2,16'b0000010100100100
BIAS_CFG3,16'b0000000001000001
BIAS_CFG4,16'b0000000000010000
BIAS_CFG_RSVD,16'b0000000000000000
COMMON_CFG0,16'b0000000000000000
COMMON_CFG1,16'b0000000000000000
POR_CFG,16'b0000000000000000
PPF0_CFG,16'b0000100000000000
PPF1_CFG,16'b0000100000000000
QPLL0CLKOUT_RATE,"FULL"
QPLL0_CFG0,16'b0011001100011100
QPLL0_CFG1,16'b1101000000111000
QPLL0_CFG1_G3,16'b1101000000111000
QPLL0_CFG2,16'b0000111111000011
QPLL0_CFG2_G3,16'b0000111111000011
QPLL0_CFG3,16'b0000000100100000
QPLL0_CFG4,16'b0000000010000100
QPLL0_CP,10'b0011111111
QPLL0_CP_G3,10'b0000001111
QPLL0_FBDIV,128
QPLL0_FBDIV_G3,160
QPLL0_INIT_CFG0,16'b0000001010110010
QPLL0_INIT_CFG1,8'b00000000
QPLL0_LOCK_CFG,16'b0010010111101000
QPLL0_LOCK_CFG_G3,16'b0010010111101000
QPLL0_LPF,10'b1000011111
QPLL0_LPF_G3,10'b0111010101
QPLL0_PCI_EN,1'b0
QPLL0_RATE_SW_USE_DRP,1'b1
QPLL0_REFCLK_DIV,1
QPLL0_SDM_CFG0,16'b0000000000000000
QPLL0_SDM_CFG1,16'b0000000000000000
QPLL0_SDM_CFG2,16'b0000000000000000
QPLL1CLKOUT_RATE,"FULL"
QPLL1_CFG0,16'b0011001100011100
QPLL1_CFG1,16'b1101000000111000
QPLL1_CFG1_G3,16'b1101000000111000
QPLL1_CFG2,16'b0000111111000000
QPLL1_CFG2_G3,16'b0000111111000000
QPLL1_CFG3,16'b0000000100100000
QPLL1_CFG4,16'b0000000010000100
QPLL1_CP,10'b0011111111
QPLL1_CP_G3,10'b0001111111
QPLL1_FBDIV,128
QPLL1_FBDIV_G3,80
QPLL1_INIT_CFG0,16'b0000001010110010
QPLL1_INIT_CFG1,8'b00000000
QPLL1_LOCK_CFG,16'b0010010111101000
QPLL1_LOCK_CFG_G3,16'b0010010111101000
QPLL1_LPF,10'b1100111111
QPLL1_LPF_G3,10'b0111010100
QPLL1_PCI_EN,1'b0
QPLL1_RATE_SW_USE_DRP,1'b1
QPLL1_REFCLK_DIV,1
QPLL1_SDM_CFG0,16'b0000000000000000
QPLL1_SDM_CFG1,16'b0000000000000000
QPLL1_SDM_CFG2,16'b0000000000000000
RSVD_ATTR0,16'b0000000000000000
RSVD_ATTR1,16'b0000000000000000
RSVD_ATTR2,16'b0000000000000000
RSVD_ATTR3,16'b0000000000000000
RXRECCLKOUT0_SEL,2'b00
RXRECCLKOUT1_SEL,2'b00
SARC_ENB,1'b0
SARC_SEL,1'b0
SDM0INITSEED0_0,16'b0000000100010001
SDM0INITSEED0_1,9'b000010001
SDM1INITSEED0_0,16'b0000000100010001
SDM1INITSEED0_1,9'b000010001
SIM_DEVICE,"ULTRASCALE_PLUS"
SIM_MODE,"FAST"
SIM_RESET_SPEEDUP,"TRUE"
UB_CFG0,16'b0000000000000000
UB_CFG1,16'b0000000000000000
UB_CFG2,16'b0000000000000000
UB_CFG3,16'b0000000000000000
UB_CFG4,16'b0000000000000000
UB_CFG5,16'b0000010000000000
UB_CFG6,16'b0000000000000000
