name,value
AEN_QPLL0_FBDIV,1'b1
AEN_QPLL1_FBDIV,1'b1
AEN_SDM0TOGGLE,1'b0
AEN_SDM1TOGGLE,1'b0
A_SDM0TOGGLE,1'b0
A_SDM1DATA_HIGH,9'b000000000
A_SDM1DATA_LOW,16'b0000000000000000
A_SDM1TOGGLE,1'b0
BGBYPASSB_TIE_EN,1'b0
BGBYPASSB_VAL,1'b1
BGMONITORENB_TIE_EN,1'b0
BGMONITORENB_VAL,1'b1
BGPDB_TIE_EN,1'b0
BGPDB_VAL,1'b1
BGRCALOVRDENB_TIE_EN,1'b0
BGRCALOVRDENB_VAL,1'b1
BGRCALOVRD_TIE_EN,1'b0
BGRCALOVRD_VAL,5'b10000
BIAS_CFG0,16'b0000000000000000
BIAS_CFG1,16'b0000000000000000
BIAS_CFG2,16'b0000010100100100
BIAS_CFG3,16'b0000000001000001
BIAS_CFG4,16'b0000000000010000
BIAS_CFG_RSVD,16'b0000000000000000
COMMON_CFG0,16'b0000000000000000
COMMON_CFG1,16'b0000000000000000
DRPADDR_TIE_EN,1'b0
DRPADDR_VAL,16'b0000000000000000
DRPCLK_TIE_EN,1'b0
DRPCLK_VAL,1'b0
DRPDI_TIE_EN,1'b0
DRPDI_VAL,16'b0000000000000000
DRPEN_TIE_EN,1'b0
DRPEN_VAL,1'b0
DRPWE_TIE_EN,1'b0
DRPWE_VAL,1'b0
GTGREFCLK0_TIE_EN,1'b0
GTGREFCLK0_VAL,1'b0
GTGREFCLK1_TIE_EN,1'b0
GTGREFCLK1_VAL,1'b0
GTNORTHREFCLK00_TIE_EN,1'b0
GTNORTHREFCLK00_VAL,1'b0
GTNORTHREFCLK01_TIE_EN,1'b0
GTNORTHREFCLK01_VAL,1'b0
GTNORTHREFCLK10_TIE_EN,1'b0
GTNORTHREFCLK10_VAL,1'b0
GTNORTHREFCLK11_TIE_EN,1'b0
GTNORTHREFCLK11_VAL,1'b0
GTREFCLK00_TIE_EN,1'b0
GTREFCLK00_VAL,1'b0
GTREFCLK01_TIE_EN,1'b0
GTREFCLK01_VAL,1'b0
GTREFCLK10_TIE_EN,1'b0
GTREFCLK10_VAL,1'b0
GTREFCLK11_TIE_EN,1'b0
GTREFCLK11_VAL,1'b0
GTSOUTHREFCLK00_TIE_EN,1'b0
GTSOUTHREFCLK00_VAL,1'b0
GTSOUTHREFCLK01_TIE_EN,1'b0
GTSOUTHREFCLK01_VAL,1'b0
GTSOUTHREFCLK10_TIE_EN,1'b0
GTSOUTHREFCLK10_VAL,1'b0
GTSOUTHREFCLK11_TIE_EN,1'b0
GTSOUTHREFCLK11_VAL,1'b0
PCIERATEQPLL0_TIE_EN,1'b0
PCIERATEQPLL0_VAL,3'b000
PCIERATEQPLL1_TIE_EN,1'b0
PCIERATEQPLL1_VAL,3'b000
PMARSVD0_TIE_EN,1'b0
PMARSVD0_VAL,8'b00000000
PMARSVD1_TIE_EN,1'b0
PMARSVD1_VAL,8'b00000000
POR_CFG,16'b0000000000000000
PPF0_CFG,16'b0000011000000000
PPF1_CFG,16'b0000011000000000
QPLL0CLKOUT_RATE,"HALF"
QPLL0CLKRSVD0_TIE_EN,1'b0
QPLL0CLKRSVD0_VAL,1'b0
QPLL0CLKRSVD1_TIE_EN,1'b0
QPLL0CLKRSVD1_VAL,1'b0
QPLL0FBDIV_TIE_EN,1'b0
QPLL0FBDIV_VAL,8'b00000000
QPLL0LOCKDETCLK_TIE_EN,1'b0
QPLL0LOCKDETCLK_VAL,1'b0
QPLL0LOCKEN_TIE_EN,1'b0
QPLL0LOCKEN_VAL,1'b1
QPLL0PD_TIE_EN,1'b0
QPLL0PD_VAL,1'b0
QPLL0REFCLKSEL_TIE_EN,1'b0
QPLL0REFCLKSEL_VAL,3'b001
QPLL0RESET_TIE_EN,1'b0
QPLL0RESET_VAL,1'b0
QPLL0_CFG0,16'b0011001100011100
QPLL0_CFG1,16'b1101000000111000
QPLL0_CFG1_G3,16'b1101000000111000
